trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
5151061893447680:0,06:32:00,06:32:00,zenbus:StopPoint:SP:843730008:LOC,0,,,,20,
5151061893447680:0,06:35:00,06:35:00,zenbus:StopPoint:SP:853090003:LOC,1,,,,445,
5151061893447680:0,06:37:00,06:37:00,zenbus:StopPoint:SP:834510003:LOC,2,,,,736,
5151061893447680:0,06:39:00,06:39:00,zenbus:StopPoint:SP:843740004:LOC,9,,,,1103,
5151061893447680:0,06:41:00,06:41:00,zenbus:StopPoint:SP:834470004:LOC,10,,,,1325,
5151061893447680:0,06:42:00,06:42:00,zenbus:StopPoint:SP:843700013:LOC,12,,,,1760,
5151061893447680:0,06:43:00,06:43:00,zenbus:StopPoint:SP:826690004:LOC,13,,,,1898,
5151061893447680:0,06:43:00,06:43:00,zenbus:StopPoint:SP:831800005:LOC,14,,,,2199,
5151061893447680:0,06:45:00,06:45:00,zenbus:StopPoint:SP:836670001:LOC,15,,,,2635,
5151061893447680:0,06:45:00,06:45:00,zenbus:StopPoint:SP:839690006:LOC,16,,,,2733,
5151061893447680:0,06:46:00,06:46:00,zenbus:StopPoint:SP:826710003:LOC,17,,,,3123,
5151061893447680:0,06:47:00,06:47:00,zenbus:StopPoint:SP:826680004:LOC,18,,,,3440,
5151061893447680:0,06:47:00,06:47:00,zenbus:StopPoint:SP:824780004:LOC,19,,,,3793,
5151061893447680:0,06:49:00,06:49:00,zenbus:StopPoint:SP:828690004:LOC,22,,,,3943,
5151061893447680:0,06:50:00,06:50:00,zenbus:StopPoint:SP:843730008:LOC,23,,,,4168,
5151061893447680:1,06:52:00,06:52:00,zenbus:StopPoint:SP:843730008:LOC,0,,,,20,
5151061893447680:1,06:55:00,06:55:00,zenbus:StopPoint:SP:853090003:LOC,1,,,,431,
5151061893447680:1,06:57:00,06:57:00,zenbus:StopPoint:SP:834510003:LOC,2,,,,721,
5151061893447680:1,06:59:00,06:59:00,zenbus:StopPoint:SP:843740004:LOC,9,,,,1082,
5151061893447680:1,07:01:00,07:01:00,zenbus:StopPoint:SP:849270013:LOC,11,,,,1354,
5151061893447680:1,07:03:00,07:03:00,zenbus:StopPoint:SP:826690004:LOC,13,,,,2022,
5151061893447680:1,07:03:00,07:03:00,zenbus:StopPoint:SP:831800005:LOC,14,,,,2323,
5151061893447680:1,07:05:00,07:05:00,zenbus:StopPoint:SP:836670001:LOC,15,,,,2759,
5151061893447680:1,07:05:00,07:05:00,zenbus:StopPoint:SP:839690006:LOC,16,,,,2878,
5151061893447680:1,07:06:00,07:06:00,zenbus:StopPoint:SP:826710003:LOC,17,,,,3247,
5151061893447680:1,07:07:00,07:07:00,zenbus:StopPoint:SP:826680004:LOC,18,,,,3566,
5151061893447680:1,07:07:00,07:07:00,zenbus:StopPoint:SP:824780004:LOC,19,,,,3917,
5151061893447680:1,07:09:00,07:09:00,zenbus:StopPoint:SP:828690004:LOC,22,,,,4067,
5151061893447680:1,07:10:00,07:10:00,zenbus:StopPoint:SP:843730008:LOC,23,,,,4319,
5151061893447680:1,07:13:00,07:13:00,zenbus:StopPoint:SP:856840003:LOC,24,,,,4785,
5151061893447680:1,07:14:00,07:14:00,zenbus:StopPoint:SP:834500003:LOC,25,,,,5001,
5151061893447680:1,07:14:00,07:14:00,zenbus:StopPoint:SP:854950005:LOC,26,,,,5154,
5151061893447680:1,07:15:00,07:15:00,zenbus:StopPoint:SP:831810006:LOC,27,,,,5627,
5151061893447680:1,07:16:00,07:16:00,zenbus:StopPoint:SP:843690019:LOC,28,,,,5916,
5151061893447680:1,07:17:00,07:17:00,zenbus:StopPoint:SP:858810005:LOC,29,,,,6069,
5151061893447680:1,07:18:00,07:18:00,zenbus:StopPoint:SP:843730008:LOC,30,,,,6222,
5151061893447680:2,07:07:00,07:07:00,zenbus:StopPoint:SP:843730008:LOC,0,,,,19,
5151061893447680:2,07:10:00,07:10:00,zenbus:StopPoint:SP:853090003:LOC,1,,,,430,
5151061893447680:2,07:12:00,07:12:00,zenbus:StopPoint:SP:834510003:LOC,2,,,,720,
5151061893447680:2,07:14:00,07:14:00,zenbus:StopPoint:SP:843740004:LOC,9,,,,1082,
5151061893447680:2,07:16:00,07:16:00,zenbus:StopPoint:SP:849270013:LOC,11,,,,1355,
5151061893447680:2,07:19:00,07:19:00,zenbus:StopPoint:SP:828690004:LOC,22,,,,2191,
5151061893447680:2,07:20:00,07:20:00,zenbus:StopPoint:SP:843730008:LOC,23,,,,2442,
5151061893447680:2,07:23:00,07:23:00,zenbus:StopPoint:SP:856840003:LOC,24,,,,2911,
5151061893447680:2,07:24:00,07:24:00,zenbus:StopPoint:SP:834500003:LOC,25,,,,3126,
5151061893447680:2,07:24:00,07:24:00,zenbus:StopPoint:SP:854950005:LOC,26,,,,3279,
5151061893447680:2,07:25:00,07:25:00,zenbus:StopPoint:SP:831810006:LOC,27,,,,3752,
5151061893447680:2,07:26:00,07:26:00,zenbus:StopPoint:SP:843690019:LOC,28,,,,4042,
5151061893447680:2,07:27:00,07:27:00,zenbus:StopPoint:SP:858810005:LOC,29,,,,4194,
5151061893447680:2,07:28:00,07:28:00,zenbus:StopPoint:SP:843730008:LOC,30,,,,4347,
5151061893447680:3,07:22:00,07:22:00,zenbus:StopPoint:SP:843730008:LOC,0,,,,0,
5151061893447680:3,07:26:00,07:26:00,zenbus:StopPoint:SP:853090003:LOC,1,,,,414,
5151061893447680:3,07:29:00,07:29:00,zenbus:StopPoint:SP:834510003:LOC,2,,,,704,
5151061893447680:3,07:30:00,07:30:00,zenbus:StopPoint:SP:824770004:LOC,3,,,,984,
5151061893447680:3,07:32:00,07:32:00,zenbus:StopPoint:SP:839690003:LOC,4,,,,1446,
5151061893447680:3,07:33:00,07:33:00,zenbus:StopPoint:SP:810270003:LOC,5,,,,1868,
5151061893447680:3,07:34:00,07:34:00,zenbus:StopPoint:SP:854940004:LOC,6,,,,2054,
5151061893447680:3,07:34:00,07:34:00,zenbus:StopPoint:SP:826660003:LOC,7,,,,2257,
5151061893447680:3,07:34:00,07:34:00,zenbus:StopPoint:SP:853940013:LOC,8,,,,2739,
5151061893447680:3,07:37:00,07:37:00,zenbus:StopPoint:SP:843740004:LOC,9,,,,3308,
5151061893447680:3,07:40:00,07:40:00,zenbus:StopPoint:SP:849270013:LOC,11,,,,3580,
5151061893447680:3,07:43:00,07:43:00,zenbus:StopPoint:SP:826690004:LOC,13,,,,4248,
5151061893447680:3,07:43:00,07:43:00,zenbus:StopPoint:SP:831800005:LOC,14,,,,4549,
5151061893447680:3,07:45:00,07:45:00,zenbus:StopPoint:SP:836670001:LOC,15,,,,4985,
5151061893447680:3,07:45:00,07:45:00,zenbus:StopPoint:SP:839690006:LOC,16,,,,5198,
5151061893447680:3,07:46:00,07:46:00,zenbus:StopPoint:SP:826710003:LOC,17,,,,5665,
5151061893447680:3,07:47:00,07:47:00,zenbus:StopPoint:SP:826680004:LOC,18,,,,5984,
5151061893447680:3,07:47:00,07:47:00,zenbus:StopPoint:SP:824780004:LOC,19,,,,6335,
5151061893447680:3,07:49:00,07:49:00,zenbus:StopPoint:SP:828690004:LOC,22,,,,6486,
5151061893447680:3,07:50:00,07:50:00,zenbus:StopPoint:SP:843730008:LOC,23,,,,6732,
5151061893447680:4,07:37:00,07:37:00,zenbus:StopPoint:SP:843730008:LOC,0,,,,19,
5151061893447680:4,07:41:00,07:41:00,zenbus:StopPoint:SP:853090003:LOC,1,,,,430,
5151061893447680:4,07:44:00,07:44:00,zenbus:StopPoint:SP:834510003:LOC,2,,,,720,
5151061893447680:4,07:46:00,07:46:00,zenbus:StopPoint:SP:843740004:LOC,9,,,,1082,
5151061893447680:4,07:49:00,07:49:00,zenbus:StopPoint:SP:849270013:LOC,11,,,,1355,
5151061893447680:4,07:52:00,07:52:00,zenbus:StopPoint:SP:828690004:LOC,22,,,,2191,
5151061893447680:4,07:53:00,07:53:00,zenbus:StopPoint:SP:843730008:LOC,23,,,,2442,
5151061893447680:4,07:57:00,07:57:00,zenbus:StopPoint:SP:856840003:LOC,24,,,,2911,
5151061893447680:4,07:58:00,07:58:00,zenbus:StopPoint:SP:834500003:LOC,25,,,,3126,
5151061893447680:4,07:58:00,07:58:00,zenbus:StopPoint:SP:854950005:LOC,26,,,,3279,
5151061893447680:4,07:59:00,07:59:00,zenbus:StopPoint:SP:831810006:LOC,27,,,,3752,
5151061893447680:4,08:00:00,08:00:00,zenbus:StopPoint:SP:843690019:LOC,28,,,,4042,
5151061893447680:4,08:01:00,08:01:00,zenbus:StopPoint:SP:858810005:LOC,29,,,,4194,
5151061893447680:4,08:02:00,08:02:00,zenbus:StopPoint:SP:843730008:LOC,30,,,,4347,
5151061893447680:5,07:50:00,07:50:00,zenbus:StopPoint:SP:843730008:LOC,0,,,,20,
5151061893447680:5,07:54:00,07:54:00,zenbus:StopPoint:SP:853090003:LOC,1,,,,431,
5151061893447680:5,07:57:00,07:57:00,zenbus:StopPoint:SP:834510003:LOC,2,,,,721,
5151061893447680:5,07:59:00,07:59:00,zenbus:StopPoint:SP:843740004:LOC,9,,,,1082,
5151061893447680:5,08:01:00,08:01:00,zenbus:StopPoint:SP:849270013:LOC,11,,,,1354,
5151061893447680:5,08:03:00,08:03:00,zenbus:StopPoint:SP:826690004:LOC,13,,,,2022,
5151061893447680:5,08:03:00,08:03:00,zenbus:StopPoint:SP:831800005:LOC,14,,,,2323,
