route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,zenbus_mission_id,trip_headsign_code
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:0,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5088894305435648:LOC,,,4873494531670016,trip_324
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:1,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5203537938087936:LOC,,,6226719188975616,trip_323
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:2,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:3,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5119077993414656:LOC,,,5110079768494080,trip_310
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:4,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:5,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5203537938087936:LOC,,,6226719188975616,trip_323
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:6,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5185255520600064:LOC,,,5083431862009856,trip_401
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:7,DURENQUE QUAI > GARE,,0,,zenbus:Route:5170501368414208:LOC,,,5150089754443776,trip_311
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:8,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:4840520457125888:LOC,,,5125588710850560,trip_308
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:9,GARE > DURENQUE QUAI,,0,,zenbus:Route:5098634620174336:LOC,,,6275729278894080,trip_332
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:10,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:4840520457125888:LOC,,,5125588710850560,trip_308
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:11,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:5141543289618432:LOC,,,5149256446902272,trip_314
zenbus:Line:834470001:LOC,cal1-mon-tue-wed-thu-fri-3,5151061893447680:12,DURENQUE QUAI > DURENQUE QUAI,,0,,zenbus:Route:4840520457125888:LOC,,,5125588710850560,trip_308
